"Date","Open","High","Low","Close","TotalVolume"
1998/7/22,7950.000000,7950.000000,7820.000000,7870.000000,360
1998/7/23,7830.000000,7859.000000,7802.000000,7825.000000,190
1998/7/24,7750.000000,7835.000000,7740.000000,7835.000000,340
1998/7/27,7830.000000,7835.000000,7780.000000,7786.000000,150
1998/7/28,7809.000000,7830.000000,7742.000000,7742.000000,264
1998/7/29,7710.000000,7729.000000,7657.000000,7680.000000,323
1998/7/30,7665.000000,7678.000000,7620.000000,7638.000000,0
1998/7/31,7660.000000,7683.000000,7600.000000,7600.000000,257
1998/8/1,7557.000000,7609.000000,7550.000000,7609.000000,378
1998/8/3,7640.000000,7657.000000,7542.000000,7552.000000,293
1998/8/4,7555.000000,7600.000000,7548.000000,7560.000000,302
1998/8/5,7510.000000,7520.000000,7470.000000,7487.000000,455
1998/8/6,7515.000000,7525.000000,7451.000000,7462.000000,270
1998/8/7,7480.000000,7520.000000,7452.000000,7515.000000,453
1998/8/10,7500.000000,7500.000000,7350.000000,7365.000000,345
1998/8/11,7316.000000,7379.000000,7316.000000,7360.000000,386
1998/8/12,7335.000000,7335.000000,7281.000000,7330.000000,384
1998/8/13,7360.000000,7378.000000,7291.000000,7291.000000,496
1998/8/14,7275.000000,7326.000000,7140.000000,7320.000000,528
1998/8/15,7261.000000,7338.000000,7261.000000,7300.000000,361
1998/8/17,7285.000000,7285.000000,7219.000000,7219.000000,308
1998/8/18,7250.000000,7250.000000,7165.000000,7220.000000,574
1998/8/19,7269.000000,7300.000000,7260.000000,7285.000000,543
1998/8/20,7300.000000,7300.000000,7253.000000,7271.000000,322
1998/8/21,7255.000000,7255.000000,7220.000000,7225.000000,301
1998/8/24,7172.000000,7175.000000,6955.000000,6955.000000,919
1998/8/25,6938.000000,6970.000000,6844.000000,6949.000000,780
1998/8/26,6990.000000,7014.000000,6790.000000,6790.000000,839
1998/8/27,6681.000000,6850.000000,6651.000000,6835.000000,1137
1998/8/28,6699.000000,6820.000000,6655.000000,6695.000000,1285
1998/8/29,6700.000000,6780.000000,6700.000000,6728.000000,698
1998/8/31,6750.000000,6756.000000,6566.000000,6566.000000,922
1998/9/1,6352.000000,6410.000000,6216.000000,6410.000000,1584
1998/9/2,6494.000000,6495.000000,6380.000000,6430.000000,1417
1998/9/3,6400.000000,6400.000000,6200.000000,6200.000000,1459
1998/9/4,6120.000000,6400.000000,6120.000000,6399.000000,1789
1998/9/5,6420.000000,6710.000000,6420.000000,6700.000000,2198
1998/9/7,6730.000000,6769.000000,6603.000000,6719.000000,1632
1998/9/8,6719.000000,6870.000000,6700.000000,6865.000000,1410
1998/9/9,6930.000000,6931.000000,6735.000000,6770.000000,1901
1998/9/10,6720.000000,6798.000000,6702.000000,6730.000000,1371
1998/9/11,6680.000000,6769.000000,6630.000000,6769.000000,1804
1998/9/14,6789.000000,6849.000000,6769.000000,6818.000000,871
1998/9/15,6840.000000,6850.000000,6780.000000,6825.000000,612
1998/9/16,6815.000000,6995.000000,6815.000000,6995.000000,732
1998/9/17,6945.000000,6964.000000,6892.000000,6906.000000,1979
1998/9/18,6840.000000,6876.000000,6832.000000,6842.000000,1470
1998/9/19,6859.000000,7040.000000,6855.000000,7039.000000,2339
1998/9/21,7035.000000,7060.000000,6850.000000,6861.000000,2307
1998/9/22,6930.000000,6958.000000,6855.000000,6926.000000,1715
1998/9/23,6900.000000,6946.000000,6850.000000,6852.000000,1773
1998/9/24,6940.000000,6940.000000,6870.000000,6890.000000,1403
1998/9/25,6856.000000,6881.000000,6771.000000,6871.000000,1928
1998/9/28,6860.000000,6880.000000,6801.000000,6840.000000,1132
1998/9/29,6870.000000,6875.000000,6780.000000,6806.000000,1389
1998/9/30,6806.000000,6827.000000,6751.000000,6787.000000,1239
1998/10/1,6738.000000,6745.000000,6620.000000,6620.000000,2073
1998/10/2,6530.000000,6530.000000,6311.000000,6398.000000,2532
1998/10/3,6398.000000,6555.000000,6398.000000,6550.000000,2383
1998/10/6,6490.000000,6493.000000,6320.000000,6450.000000,2007
1998/10/7,6469.000000,6640.000000,6469.000000,6639.000000,2348
1998/10/8,6600.000000,7035.000000,6600.000000,6981.000000,3281
1998/10/9,6980.000000,7028.000000,6830.000000,6900.000000,3290
1998/10/12,6980.000000,6980.000000,6900.000000,6935.000000,1613
1998/10/13,6950.000000,6990.000000,6851.000000,6852.000000,2387
1998/10/14,6830.000000,6830.000000,6740.000000,6775.000000,2224
1998/10/15,6775.000000,6781.000000,6720.000000,6760.000000,1188
